DATE,STAFF_GROUP,REASON,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE
31/12/2022,All staff groups,ALL REASONS,2635160.94453,42028136.97369
31/12/2022,All staff groups,S10 Anxiety/stress/depression/other psychiatric illnesses,547824.05023,0.0
31/12/2022,All staff groups,S11 Back Problems,88482.19681,0.0
31/12/2022,All staff groups,S12 Other musculoskeletal problems,185463.52588,0.0
31/12/2022,All staff groups,S13 Cold Cough Flu - Influenza,580662.03689,0.0
31/12/2022,All staff groups,S14 Asthma,7618.66828,0.0
31/12/2022,All staff groups,S15 Chest & respiratory problems,193658.28279,0.0
31/12/2022,All staff groups,S16 Headache / migraine,45108.41428,0.0
31/12/2022,All staff groups,S17 Benign and malignant tumours cancers,58511.32452,0.0
31/12/2022,All staff groups,S18 Blood disorders,7199.02773,0.0
31/12/2022,All staff groups,S19 Heart cardiac & circulatory problems,47202.63356,0.0
31/12/2022,All staff groups,S20 Burns poisoning frostbite hypothermia,1483.18556,0.0
31/12/2022,All staff groups,S21 Ear nose throat (ENT),50344.98812,0.0
31/12/2022,All staff groups,S22 Dental and oral problems,8513.47005,0.0
31/12/2022,All staff groups,S23 Eye problems,17585.09314,0.0
31/12/2022,All staff groups,S24 Endocrine / glandular problems,9411.93076,0.0
31/12/2022,All staff groups,S25 Gastrointestinal problems,155534.64439,0.0
31/12/2022,All staff groups,S26 Genitourinary & gynaecological disorders,65074.16284,0.0
31/12/2022,All staff groups,S27 Infectious diseases,152694.31228,0.0
31/12/2022,All staff groups,S28 Injury fracture,101120.09233,0.0
31/12/2022,All staff groups,S29 Nervous system disorders,19429.06478,0.0
31/12/2022,All staff groups,S30 Pregnancy related disorders,62962.4881,0.0
31/12/2022,All staff groups,S31 Skin disorders,12519.53252,0.0
31/12/2022,All staff groups,S32 Substance abuse,858.46659,0.0
31/12/2022,All staff groups,S98 Other known causes - not elsewhere classified,146818.37262,0.0
31/12/2022,All staff groups,S99 Unknown causes / Not specified,69080.97948,0.0
31/12/2022,NHS infrastructure support,ALL REASONS,384497.51742,7723792.76128
31/12/2022,Other staff or those with unknown classification,ALL REASONS,1532.74911,78036.26123
31/12/2022,Professionally qualified clinical staff,ALL REASONS,1207945.01208,21709400.00314
31/12/2022,Support to clinical staff,ALL REASONS,1041185.66592,12516907.94804
31/12/2022,Ambulance staff,ALL REASONS,46399.97294,584372.85503
31/12/2022,Central functions,ALL REASONS,180743.23118,4278228.34128
31/12/2022,HCHS Doctors,ALL REASONS,98954.44023000001,4324560.58405
31/12/2022,"Hotel, property & estates",ALL REASONS,168286.84582,1999360.58963
31/12/2022,Managers,ALL REASONS,25605.69223,995050.48919
31/12/2022,Midwives,ALL REASONS,53946.92029,722396.2980600001
31/12/2022,Nurses & health visitors,ALL REASONS,743618.78183,10741601.37442
31/12/2022,"Scientific, therapeutic & technical staff",ALL REASONS,265024.89679,5336468.89158
31/12/2022,Senior managers,ALL REASONS,9861.74819,451153.34118
31/12/2022,Support to ST&T staff,ALL REASONS,180091.16684,2518341.89076
31/12/2022,Support to ambulance staff,ALL REASONS,83573.83082,790898.34624
